artist	artistId	album	albumId	date	song	songId	trackNum
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Searching for the Shape	4cEmCBYuEStkrdQsNeU9Up	38
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Mannequin Panic	5FpTEeSsbcEvpkTbgqU6P4	39
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Death Drum	5ODSZZ7vmCrr6mUAZjXh2g	40
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	The Shape and Laurie Fight	6QeihMG60jpUlHRfBVTBH5	41
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	The Grind	5mFYJSXm8HhBadj29iUYde	42
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Trap the Shape	2zq9ai8NR9xGOaECYbQj6F	43
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	The Shape Burns	5TZmQd08QfOYTT9Yn4wxin	44
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Halloween Triumphant	4badWUovCbNQq32Cui1g7O	45
Chicane	5GxyeQagayzZOg4UwffQlD	From Where I Stand (2019 Rework)	29q4mjCVqo1mlWNzuj965V	2019-10-18	From Where I Stand - 2019 Rework	4MRWGB8s1sQw2hye4QpZEm	1
Idina Menzel	73Np75Wv2tju61Eo9Zw4IR	Christmas: A Season Of Love	2iaVsgsBIrCnxTksOl0Muz	2019-10-18	Sleigh Ride	5AOs74DmCQ7ufunryKiyQA	1
Idina Menzel	73Np75Wv2tju61Eo9Zw4IR	Christmas: A Season Of Love	2iaVsgsBIrCnxTksOl0Muz	2019-10-18	The Most Wonderful Time Of The Year	52p8icuUaImRcQ4DYgiLts	2
Idina Menzel	73Np75Wv2tju61Eo9Zw4IR	Christmas: A Season Of Love	2iaVsgsBIrCnxTksOl0Muz	2019-10-18	I Got My Love To Keep Me Warm	5nglKcNAb8j8hq3iNHNwir	3
Idina Menzel	73Np75Wv2tju61Eo9Zw4IR	Christmas: A Season Of Love	2iaVsgsBIrCnxTksOl0Muz	2019-10-18	Christmas Just Ain't Christmas	0RZLwjRHjgGTvml5GGP4Oz	4
Idina Menzel	73Np75Wv2tju61Eo9Zw4IR	Christmas: A Season Of Love	2iaVsgsBIrCnxTksOl0Muz	2019-10-18	We Wish You The Merriest	7bAKFfjbniaMKGuvKPp7XP	5
Idina Menzel	73Np75Wv2tju61Eo9Zw4IR	Christmas: A Season Of Love	2iaVsgsBIrCnxTksOl0Muz	2019-10-18	A Hand For Mrs. Claus	5GMaaILYpTiAo1SAhvvBKi	6
